,id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,youtube_views,last_fm_playcount,last_fm_listeners
242,6dDrIfdWh6WJGjdHEwxNtu,Machi ghardha,Cheb Hasni,10,0,4,285373,0.586,-5.254,0.765,0.00334,0.161,0.616,0.0335,163.618,15,239266,213,17
1028,04WlFWx5UfKOQhiQe8JxmQ,Sayi glaatek men bali,Cheb Hasni,5,0,4,380000,0.638,-16.472,0.328,0.00017,0.0585,0.597,0.0351,150.048,4,24809,16,8
1797,7xhfDo0FAi9OEkYsS763zu,Chira li nebghiha,Cheb Hasni,0,0,4,210653,0.603,-5.601,0.902,0.000356,0.102,0.953,0.146,159.915,1,20616643,98,23
991,3Dkf258UlGKiReCoRB07Fh,Serbi serbi,Cheb Hasni,1,1,5,181960,0.763,-6.973,0.871,0.0818,0.0758,0.97,0.0345,110.506,5,4204,2,2
415,4Q0qxzFuIDnn6ypM7qawK4,نيتي نيتي mon amour,Cheb Hasni,1,1,4,291920,0.294,-2.412,0.699,0.0,0.14,0.417,0.0562,165.074,11,5603710,36,6
2270,3sG87z0pUQdG2o4t50zkkV,Halamen alamen,Cheb Hasni,1,1,4,197520,0.614,-5.106,0.795,0.002,0.25,0.875,0.044,79.949,0,337067,2,2
543,7fSQECN4Dq3oaY2lLjikse,Tehrob Oumri,Cheb Hasni,4,0,4,345203,0.634,-11.899,0.679,0.000441,0.0695,0.826,0.0433,164.198,8,256402,11,6
1161,7mWnbEEV37SoXJXq6SXp0T,La camel,Cheb Hasni,1,1,4,243613,0.506,-6.582,0.632,0.813,0.084,0.921,0.047,98.416,4,385583,0,0
1980,03rtaTNOcjRM59NsiSHs4T,الشاب الراسي,Cheb Hasni,11,1,4,339106,0.604,-10.497,0.533,0.277,0.0779,0.268,0.034,154.982,1,118622,3,3
1537,6gXdQupBNibafkJX0RVv87,Rabi rabi,Cheb Hasni,1,0,4,314000,0.559,-11.704,0.835,0.000123,0.307,0.839,0.0668,165.783,2,4473,15,12
298,0tqBnQ9LSnO0MEok9k5dBO,Lahala yataleb,Cheb Hasni,1,1,4,386453,0.722,-10.367,0.776,2.53e-05,0.0942,0.65,0.0507,97.689,14,13454,0,0
1483,6Lw44Gc5Ix1iQSuR6tem9R,C'est difficile,Cheb Hasni,1,1,4,324000,0.612,-6.712,0.81,4.14e-05,0.302,0.643,0.0396,184.81,2,33031,179,64
498,1LrNFNSYCzRPbj89bE7hYj,El mont khadaa,Cheb Hasni,1,1,4,354452,0.636,-9.701,0.649,0.0,0.055,0.827,0.0576,83.354,9,57024,0,0
1525,1AysYFGzqlUUN67X5o6NeA,بيدا mon amour,Cheb Hasni,10,0,4,342360,0.474,-5.238,0.807,0.0,0.449,0.706,0.107,161.418,2,5603710,12,9
1528,37VdgPSeaGRXp2eWoIczGY,Oran... la France,Cheb Hasni,0,1,4,359560,0.721,-11.585,0.64,0.000209,0.138,0.836,0.0642,167.589,2,3513203,74,32
29,37mRDrNeFPfO73oVn4hjUb,داك المحكوم,Cheb Hasni,7,1,3,364893,0.433,-3.859,0.836,0.000109,0.0759,0.892,0.112,176.9,30,1459,115,27
1690,7rmzJTNl6lfZc8BdRRWMW1,Hey ouelfi makaditlek,Cheb Hasni,7,0,4,293360,0.644,-7.226,0.739,0.00179,0.0475,0.853,0.0346,173.883,2,17639,40,23
1226,79zqJNISMpyED5Z9LA13qK,Ana kelmet maak,Cheb Hasni,10,0,4,286000,0.637,-6.264,0.863,7.41e-06,0.204,0.863,0.0371,164.661,3,12,12,7
551,2vLahhXu6Rwewf5v0eTkI5,Chaba bent bladi,Cheb Hasni,10,0,4,185493,0.693,-13.721,0.625,9.63e-05,0.0636,0.961,0.0414,91.393,8,151734,0,0
1251,4ECpsvY1Qlsr1RGaGfOs72,Jamais nansa souvenirs,Cheb Hasni,0,0,4,318706,0.592,-11.267,0.485,0.0,0.222,0.518,0.029,179.354,3,313423,132,64
613,1B3votchEZJ6EUK8HzXk8y,Nebki al ray,Cheb Hasni,9,0,3,249786,0.426,-9.204,0.602,0.0624,0.139,0.683,0.0862,163.949,7,40893,99,29
1694,4e5ue3tfDWoHEQzGXUPVvo,ماهيتي علية أولاش,Cheb Hasni,0,0,4,301534,0.645,-6.188,0.79,0.000118,0.0844,0.937,0.0312,76.949,2,1627637,0,0
43,3vDd2L0wewUZr0XRuAIyq9,Batch bedeltini,Cheb Hasni,10,0,4,330840,0.655,-9.567,0.726,0.000381,0.173,0.839,0.0533,173.744,28,103,58,23
33,0zUzOzbiI0eAQA8JfdR8K3,Mazel el hal ghir weli,Cheb Hasni,0,0,3,275000,0.735,-12.166,0.582,7.26e-06,0.274,0.955,0.0351,136.268,30,85015,255,70
483,6uHZwGWIwAkOsFleEqTIwm,Sayi,Cheb Hasni,2,1,4,337000,0.668,-7.643,0.728,4.76e-05,0.0453,0.817,0.0447,89.212,9,120289,85,12
1994,7p0rFAMGSTcb7DL1QRaSJy,مانيماني,Cheb Hasni,10,0,3,342066,0.456,-1.104,0.952,1.62e-06,0.282,0.674,0.0598,180.119,1,243746,4,1
1513,1R3gzwAZI9sO18kVDey4Ss,Ana ou sahbi choufnaha,Cheb Hasni,1,1,3,296533,0.664,-8.538,0.779,0.000461,0.155,0.553,0.0404,162.468,2,1838886,33,14
46,30t7eW6fy4dgfvkoJvxrsC,Laaziza,Cheb Hasni,0,0,4,329000,0.628,-13.09,0.644,9.14e-06,0.0828,0.938,0.0354,174.703,28,8747396,114,24
494,7gFdWrtXnKLQK9mECUXrlL,Ha Lalla,Cheb Hasni,10,1,4,364986,0.814,-7.591,0.667,0.0,0.0561,0.95,0.084,112.55,9,41410,0,0
1562,4Fil28IUGCS4MChXfkUGaV,راني بن أو بن,Cheb Hasni,0,0,4,343880,0.623,-8.003,0.711,0.0,0.0547,0.622,0.0326,81.145,2,46345,3,2
453,2mb7NJ0V7sFJLPVpFpLPcN,الفورك خبز,Cheb Hasni,5,0,3,256079,0.644,-3.447,0.807,0.0,0.261,0.797,0.0319,128.59,10,20616643,11,6
34,7K3VtwW8OF7R1P2Pb1IDLs,Manjemeche niche rani mride,Cheb Hasni,8,0,3,338000,0.379,-6.535,0.669,0.0,0.12,0.945,0.0548,84.19,29,472,51,23
1701,5flpkIgAmhPiBn7TpL1d3v,يا وعدي,Cheb Hasni,11,0,4,278128,0.57,-4.88,0.815,0.0,0.375,0.842,0.0342,111.117,2,144449,0,0
1509,7MDMddhr0bWIF5rgzG8h8u,أندي شيرا عدرا,Cheb Hasni,4,0,4,347120,0.64,-15.368,0.554,0.00106,0.051,0.845,0.0428,164.283,2,866532,0,0
2269,0QNattz5VZPcnhIfsa0PBl,J'rit ou jarit,Cheb Hasni,1,1,4,242000,0.818,-5.543,0.739,0.00663,0.361,0.968,0.0509,80.008,0,1042157,3,2
436,4BbnS1hpVbNkQNFji2hd7M,أنا نبي,Cheb Hasni,11,1,4,340400,0.713,-14.666,0.632,0.0809,0.0863,0.969,0.0722,179.979,10,282524,0,0
343,4TADXrlydzZrGp18cFN1dh,Haoui haoui,Cheb Hasni,0,1,4,314466,0.699,-13.447,0.514,0.0029,0.094,0.783,0.0355,93.416,12,7983,0,0
1985,0gq1Enni7XCG81reiIUJXZ,مزال النبيك,Cheb Hasni,0,0,4,324746,0.672,-11.893,0.497,0.0,0.294,0.78,0.0376,150.393,1,208405,2,1
148,2D2EUQdfgT2H7gHyAtSAQA,Madanitch netfarkou,Cheb Hasni,4,0,3,291733,0.595,-11.861,0.503,4.34e-06,0.156,0.558,0.0452,138.615,19,2357867,288,87
1798,4ERaw99ghL1JOa2PnuqIrT,Alach dima hzina,Cheb Hasni,0,1,4,311160,0.304,-6.804,0.672,0.00151,0.506,0.651,0.112,175.148,1,148088,3,3
1177,3VXCTBcDnO70333P0OhRUn,Mouhal nasbar ala waldi,Cheb Hasni,10,0,4,253893,0.596,-7.539,0.672,2.09e-05,0.0885,0.804,0.0543,171.474,4,109995,52,13
315,0vJOhsyZQfr8LatEx6NMGy,Sidi Abdellah,Cheb Hasni,7,1,4,183826,0.696,-5.793,0.781,0.0,0.12,0.932,0.0698,100.062,13,299820,0,0
1560,2dwAm9eILFIWMF5GdmIwQS,لي دلمني ما نكلامة,Cheb Hasni,7,1,4,313952,0.749,-11.432,0.711,0.0542,0.127,0.787,0.0347,97.017,2,22,2,1
1555,2Nqrj5tWY1IpIhYwUBmVJN,أنا أوانا,Cheb Hasni,8,1,4,299213,0.412,-4.502,0.752,2.92e-05,0.127,0.321,0.0392,154.278,2,101077,3,1
28,51LVU7Mo03RjULFVzb8agq,Ana malit,Cheb Hasni,11,0,4,310800,0.674,-6.903,0.491,0.00211,0.138,0.501,0.0327,153.685,30,161440,102,49
1976,0XOehY1fa1hYeG0PUh2NNs,Jamais nensa,Cheb Hasni,1,0,4,306176,0.815,-16.727,0.288,1.66e-05,0.11,0.578,0.0309,94.688,1,313423,3,2
1583,3xJQvQVzl1Hy0LxhTAYBzE,زيد أديب قلبي,Cheb Hasni,2,0,4,289459,0.763,-6.795,0.787,1.37e-06,0.0842,0.92,0.031,154.128,2,181321,0,0
1803,2i4hoqspZpAM0FvUdyYbzN,Nsa l'histoire,Cheb Hasni,7,1,4,346896,0.711,-10.538,0.86,0.00135,0.254,0.935,0.0528,93.26,1,20006,2,1
248,4dsDoSDAvN4K6m1htPdQjs,Halaman halaman,Cheb Hasni,5,0,3,325586,0.557,-6.201,0.617,0.423,0.144,0.741,0.0306,141.522,15,586,32,16
779,2ZYtfLwpUhXaHZk13GP3yf,Nedmet aala raiha,Cheb Hasni,4,0,4,357640,0.641,-9.211,0.718,0.0,0.309,0.553,0.219,95.561,6,28136,0,0
2271,4P7EvPHhN8pkDHTe4Lamon,Chira likatbetli,Cheb Hasni,1,1,4,221613,0.714,-7.385,0.877,0.01,0.321,0.971,0.0546,93.995,0,9295,2,2
2272,5sEtK6ooNdTqq5GaKqcJ4f,Diriha fi balek,Cheb Hasni,1,1,4,192026,0.719,-7.66,0.939,0.0151,0.498,0.884,0.0635,94.013,0,1337366,17,12
2000,14IiP3upIiNt8w1f4aUzQB,Hrem naasi,Cheb Hasni,8,1,4,299013,0.437,-6.186,0.7,3.36e-05,0.126,0.254,0.0346,154.227,1,10417,21,12
1080,7Ic6JYIcw7AMut378FWPom,Rani Khalit Halek Amana,Cheb Hasni,1,1,4,341043,0.759,-12.663,0.545,2.66e-05,0.0987,0.878,0.216,177.418,4,286573,10,5
1739,5WHwBViY768T4p6ppxDGzc,Hata n'goul nekoui rouhi,Cheb Hasni,7,1,3,194266,0.759,-6.888,0.641,2.98e-05,0.0492,0.888,0.0798,164.981,1,17675,6,4
