,id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,youtube_views,last_fm_playcount,last_fm_listeners
1037,1EmWCNdfOp1sqetZqFrbtn,Samhini ya zerga,Cheb Hasni,11,0,4,351000,0.517,-16.916,0.583,6.67e-05,0.29,0.598,0.0429,166.888,4,141799,9,6
1276,5xVenZ1CIw3fMovmhlQl5e,ماغواني إيدا ناسكان,Cheb Hasni,1,1,4,299533,0.666,-10.367,0.531,0.175,0.119,0.469,0.0831,94.174,3,922,7,5
1221,04B8Oh5RmOeYMnERVmNPNo,ديريها في بالك,Cheb Hasni,7,0,4,326093,0.714,-8.005,0.782,0.0628,0.103,0.895,0.037,91.626,4,254672,89,6
243,6Sa70kaTBVNENUcmEMf4Hy,Mouhal nasbar ala waldi,Cheb Hasni,10,0,4,253893,0.598,-7.52,0.673,2.05e-05,0.0885,0.801,0.0536,171.472,15,144999,52,13
1739,5WHwBViY768T4p6ppxDGzc,Hata n'goul nekoui rouhi,Cheb Hasni,7,1,3,194266,0.759,-6.888,0.641,2.98e-05,0.0492,0.888,0.0798,164.981,1,17675,6,4
546,2TImp5EwZEowKxJN9qNRmC,Kounfti Fe Dar,Cheb Hasni,1,1,4,344136,0.604,-10.748,0.586,0.0,0.0734,0.459,0.0538,95.003,8,1078,9,4
248,4dsDoSDAvN4K6m1htPdQjs,Halaman halaman,Cheb Hasni,5,0,3,325586,0.557,-6.201,0.617,0.423,0.144,0.741,0.0306,141.522,15,586,32,16
1217,5qGSaPL2zv13frQDo71cWa,Machi ghardha,Cheb Hasni,10,0,4,285373,0.587,-5.25,0.765,0.00334,0.161,0.623,0.0335,163.61,4,239266,213,17
1261,1upTp1MinCr1BQB8TE6c1b,Oran... la France,Cheb Hasni,0,1,4,359560,0.721,-11.585,0.64,0.000209,0.138,0.836,0.0642,167.589,3,3513203,74,32
648,3pKlFMTSDijQSeXvWaXAN4,Wahran rouhi ya ouarhan,Cheb Hasni,0,1,4,327666,0.453,-13.202,0.497,5.99e-05,0.116,0.847,0.0349,95.509,7,1097028,0,0
500,1LrNFNSYCzRPbj89bE7hYj,El mont khadaa,Cheb Hasni,1,1,4,354452,0.636,-9.701,0.649,0.0,0.055,0.827,0.0576,83.354,9,57024,0,0
247,0yb9BN5QWXmcvnOAEchKeU,Madabia,Cheb Hasni,5,0,3,376975,0.479,-8.439,0.571,2.12e-05,0.0641,0.921,0.0405,80.659,15,33926,0,0
1248,1eo1ciKu6C2iNKwqAtYLSk,درتيها أو غيتي تسامهي,Cheb Hasni,6,1,3,272788,0.485,-6.023,0.832,0.0,0.0867,0.953,0.0425,150.181,3,1568029,0,0
1486,6NWqRMDUMV1zyuqPOOxqU6,كان زين,Cheb Hasni,5,0,4,305853,0.634,-9.535,0.577,0.000927,0.103,0.363,0.0235,99.782,2,22,15,6
1253,57iRcfrTUxkhRWWyvS3pPP,مانيش prêt,Cheb Hasni,2,0,4,275876,0.623,-5.715,0.867,0.0,0.407,0.805,0.106,98.201,3,574218,0,0
94,4gjQw6MOtXH9zdBzMwgFNU,Baïda mon amour,Cheb Hasni,10,0,4,338893,0.507,-3.052,0.867,0.0,0.699,0.754,0.112,161.537,25,5603710,1068,329
544,7DmBf17k5npSz43L0j9WAM,Oumri Oumri,Cheb Hasni,1,1,4,360790,0.54,-9.231,0.554,1.73e-06,0.271,0.449,0.0509,159.008,8,48245,44,22
653,1dXWBaYpH9ry1sG0ZTCKvi,Ya mina,Cheb Hasni,8,1,4,356013,0.789,-9.018,0.775,7.15e-06,0.0607,0.924,0.0395,94.822,7,45727,0,0
1881,7oNKGp3rYrVs7Ud7oh0ZOE,Daiman Nouassik,Cheb Hasni,0,1,4,330350,0.637,-13.755,0.573,1.27e-05,0.0478,0.931,0.138,166.128,1,985,25,21
1960,2wCIZDRuvYPPs7x1fMfcHc,Men ghirek entia ya a na,Cheb Hasni,7,0,4,371386,0.846,-10.266,0.63,0.00348,0.0413,0.668,0.0502,104.951,1,15902,15,8
43,3vDd2L0wewUZr0XRuAIyq9,Batch bedeltini,Cheb Hasni,10,0,4,330840,0.655,-9.567,0.726,0.000381,0.173,0.839,0.0533,173.744,28,103,58,23
244,1YEK5Omt6p6hCbCWgav8lE,N ti n ti mon amour,Cheb Hasni,1,1,4,291920,0.294,-2.412,0.699,0.0,0.14,0.417,0.0562,165.072,15,70715,20,10
1230,5t8YQ1JjNtlM22obE2fi2E,Bghat tchaouar,Cheb Hasni,5,0,4,240000,0.675,-8.891,0.873,0.00027,0.193,0.931,0.0793,176.952,3,11,15,6
565,4AKV2VP1osurRjgqC0Kkls,مكنالله,Cheb Hasni,8,1,4,347813,0.735,-13.313,0.68,0.608,0.109,0.966,0.0405,100.227,8,5603710,0,0
1968,2qbg2GM6rqRxzR1ATmBFCL,راني موراك,Cheb Hasni,5,0,4,221346,0.77,-11.281,0.734,0.000833,0.094,0.893,0.0566,103.569,1,276575,3,2
1740,13JqGYy7a9KEStdp7olYEM,Mouhal nesbor ala oueldi,Cheb Hasni,10,0,4,163386,0.692,-3.604,0.936,0.000485,0.346,0.953,0.0884,172.069,1,144999,12,5
1161,7mWnbEEV37SoXJXq6SXp0T,La camel,Cheb Hasni,1,1,4,243613,0.506,-6.582,0.632,0.813,0.084,0.921,0.047,98.416,4,385583,0,0
869,5VFEVkgdvd4GGKPTdysmkY,Omri adieu,Cheb Hasni,0,1,3,368960,0.57,-7.223,0.717,2.65e-05,0.0655,0.626,0.0292,156.111,5,47503,120,40
483,6uHZwGWIwAkOsFleEqTIwm,Sayi,Cheb Hasni,2,1,4,337000,0.668,-7.643,0.728,4.76e-05,0.0453,0.817,0.0447,89.212,9,120289,85,12
225,6pa4RcUqRoFfLLjHdu10xF,Waâlach sakartni,Cheb Hasni,11,1,4,324760,0.745,-10.864,0.699,0.0498,0.165,0.296,0.069,81.376,16,184,37,20
1560,2dwAm9eILFIWMF5GdmIwQS,لي دلمني ما نكلامة,Cheb Hasni,7,1,4,313952,0.749,-11.432,0.711,0.0542,0.127,0.787,0.0347,97.017,2,22,2,1
1517,1oOvzfnNpjC4ot48dKn3g8,Habouya habouya,Cheb Hasni,5,1,4,353733,0.726,-10.168,0.721,2.77e-05,0.0738,0.711,0.0595,176.791,2,166632,27,11
